,,,,,,,,,,,,
,,,,,,,,,,,,
lfd. Nr.,"Kasten, Stk",Authentitz,Format,Absender,Empfänger,Datum,Abs.- Ort,GS und Herzfeld,GB,Bemerkungen,,
,"427,05","[D010,05",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Eugen",1919-08-01,,,S. 370,"""Ich  bin schon froh, dass du mir wieder schreibst.""",
,"427,06","[D010,06",K,B,"Rosenzweig,  Franz","Rosenstock-H ., Eugen",1919-10-00,"Brf ohne Dat, s.GB",,S. 462,"zum ""Klappentext"" in einer Veröffentlichung; zum Verlag f Stern; auf Hegel-ms",
,"427,07","[D010,07",K,B,"Rosenzweig, Franz","Rosenstock-H ., Eugen",1919-10-00,"Kassel, Dat s. GB",,S. 460 ...,aus der Murhardbib. Kassel; will Aufsätze von Cohen besorgen,
,"427,08","[D010,08",K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-09-12,,,,konnte nicht m. Helene (Rudis Ehefrau ) sprechen: zum Verhältn d. Freunde (s.[R),
,"427,09","[D010,09",K,B,"Rosenzweig,  Franz","Rosenstock-H ., Eugen",1919-09-01,,,S. 419,zur Bedeutung von Onkel Adam für Franz' Jüdischsein,
,"427,10","[D010,10",K,B,"Rosenzweig,  Franz","Rosenstock-H ., Eugen",1919-08-17,,,S. 386 ff,"grundstzl. zum Jude Sein; Ich bin Dein Franz, 'esti' = gottgeschichtliche Tatsache",
,"427,11","[D010,11",K,B,"Rosenzweig, Franz","Rosenstock-H. , Eugen",1919-10-30,,,,"inc: Die Arbeitsgemeinschaft ist ... Momentporträt; ""Fortsetzung""  in [D10,41",
,"427,12","[D010,12",K,B,"Rosenzweig, Franz","Rosenstock-H., Eugen",1917-10-18,,"I,1 Nr. 446 ...",,"""was du an Augustin entdeckt hast."" Forts 19. 10.: mein Ich ensteht im Du",
,"427,13","[D010,13",K von P,B,"Rosenzweig, Franz","Rosenstock-H. , Eugen",1917-10-02,Dat. in GS,"I,1 Nr. 439 ...",,hist. Systematik zu Formen der Gewalt in Krieg u Frieden - Tabelle,
,"427,14","[D010,14",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-08-17,,,S. 119f ...,die Auslassungen betreffen Frau Suzmann und Thesen zur Astrologie,
,"427,15","[D010,15",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-08-13,Jahr GB,,S. 383 ...,ging ein Brief verloren? s. GB S. 385/86. (die Ausl. betr. Weizsäcker),
,"427,16","[D010,16",K,B,"Rosenzweig,  Franz","Rosenstock-H., Eugen",1919-07-02,Jahr GB,,S. 360,zu seinem Judesein und dem Christsein der Deutschen,
,"427,17","[D010,17",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Eugen",1919-06-28,Jahr hdf. Dat GB,,S. 352 f,zu Kirche - Staat- Gesellschaft,
,"427,18","[D010,18",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-06-21,Jahr GB,,S. 337 ff ...,zur Konstruktion des Stern,
,"427,19","[D010,19",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-07-25,,,S. 365,der Abschiedskuss als die - gegebene - gemeinsame Form,
,"427,20","[D010,20",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Eugen",1919-08-05,,,S. 376 ...,zur Veröffentlichung des Hegel - welcher Verlag?,
,"427,21","[D010,21",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-09-09,,,S. 148,"üb. den Unterschied von ""geistig"" und ""geistlich""; Hegel weiß den nicht",
,"427,22","[D010,22",K,B,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1919-09-16,Absd. s. GB 431 u.,,S. 430 f,"Fragm., Kopie endet bei GB S. 431 Mitte; zu einer intensiven Beggng; siehe [R",
,"427,23","[D010,23",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-10-07,,,S. 443 ...,"über das Verhältnis  von Liebe zu Ehe, von FRs Liebe zu Christen",
,"427,24","[D010,24",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-10-27,,,S. 455 ...,Zur einer Veröffentlichung (hic et ubique ),
,"427,25","[D010,25",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-06-23,Dat. in GB,,S. 341 ...,zu allerlei - Zeit und Zeiten bei Juden und Christen,
,"427,26","[D010,26",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-08-22,,,S. 126 ...,"von der Zeit; zu ""Leib - Geist - Seele""; zum 'Gritlianum'",
,"427,27","[D010,27",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1921-07-22,Dat. in GB,,S. 752,zu einer Geldaktion zugunsten Eugen,
,"427,28","[D010,28",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-08-30,Jahr hdf. Dat GB,,S. 136,"zum Krieg; ""Sonne, Mond und Sterne"" nochmal gelesen, s. GB S.130",
,"427,29","[D010,29",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-09-02,,,S. 139 ...,"zum Stern und zum Krieg; zu ""Sonne Mond u Sterne"" (""dünne Stelle"")",
,"427,30","[D010,30",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-09-03,,,S. 143,zu einem Buch Eugens über Revolution,
,"427,31","[D010,31",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-08-13,,,S. 118 ...,"zur Zeitschrift ""Hochland"" (GB FN 1); 5 Seiten, In GB nur S. 4 Mitte - S. 5 oben",
,"427,32","[D010,32",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-08-26,,,S. 130,"zu Eugens ""Antiastrologikum"" = FR: ""Sonne Mond und Sterne"" (s. GB  S. 130)",
,"[D010,34",K,B,"Rosenzweig,  Franz","Rosenstock-H., Eugen",1919-06-27,Jahr GB,,S. 349 ff,zum Stern,,
"427,35","[D010,35",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-06-29,Jahr GB,,S. 354,"Geschichtsphilosophie; zu Zeiten, Epochengrenzen; (1789 - 1914 - 1919)",,
"427,36","[D010,36",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-00-00,Jahr hdf,,,"""Der Schluss ist schlecht ..."" zu einem Werk von Eugen",,
"427,37","[D010,37",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-10-11,Dat. In GB,,S. 447 ...,"""3. der Jude ist Polmensch""; zu  Weismantels ""1. der Heide,  2. der Christ""",,
"427,38","[D010,38",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-06-24,Tag in GB,,S. 343 f,zur Konstruktion des Stern,,
"427,39","[D010,39",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1920-01-01,,,S. 516,über den Druck des Stern; über die Beziehung zur Mutter,,
"427,40","[D010,40",K Doppel,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1920-01-00,o.Dat..Mon/Jahr GB,,S. 533,zur Beziehung Eugen - Franz seit 1913; dazu auch GB S. 528,,
"427,41","[D010,41",K Doppel,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-11-04,Dat. GB,,S. 466 ...,"""Fortsetzung"" zur ""Arbeitsgemeinschaft"" Siehe D10,11",,
"427,42","[D010,42",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-08-01,,,,"""So ist der Schluss gut ..."" Jahr vgl. D10,36",,
"427,43","[D010,43",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Eugen",0000-11-27,Dat.?,,,inc:ich vergaß...das Bonifatiusheft;Freiheit;Erneuerung;Wiedergeburt;schlechte K,,
"427,44","[D010,44",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-07-24,,,S. 115 ...,zur Beziehung Eugen - Franz,,
"427,45","[D010,45",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-01-04,,,S. 212 ...,"... die ersten 1,5 Seiten; zu ""Brot und Wein gemeinsam""",,
"427,46","[D010,46",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Eugen",1919-08-17,,,S. 385,Bittere Klage über eine ausgebliebene Anwort,,
"427,47","[D010,47",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-08-17,Dat in GB,,S. 386,"Dat: ""gleich hinterher"", nämlich nach [D10,46: Antwort gefunden!",,
"427,48","[D010,48",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-10-00,Dat. In GB,,S. 450,"zu den ""Letzten""!",,
"427,49","[D010,49",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-06-00,Dat. In GB,,S. 346,"""Also schon wieder eine 'Epoche'.""",,
"427,50","[D010,50",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-02-24,Jahr GB,,S. 246,"""Wenn die Christen anfangen sich zu judaisieren, sind wir verloren""",,
"427,51","[D010,51",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1921-08-22,,,S. 763 ...,"zum ""Büchlein"" über den gesunden und kranken Menschenverstand",,
"427,52","[D010,52",K,B,"Rosenzweig, Franz","Rosenstock-H., Eugen",1919-11-13,Dat. in GB,,S. 475 ...,Fragment; Kop. ab GB S. 476 letzter Absatz Zeile 4 zur Finanzierung,,
"427,53","[D010,53",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1919-04-28,Dat. in GB,,S. 285 ...,"Fragment, Kopie ab GB S. 286 3. Absatz: ""...nicht Sache der Frau ...""",,
428,[E001,ms,W,Caspar/Weidenmüller,,1980-07-14,Frankfurt/Freiburg,,,"Verz v Nl., den Rafael R. nach + von Edith R. an B. Caspar überg. Hat; jetzt LBI NY",,
429,[E002,K,S,"Rosenzweig, Franz",,1924-05-07,Frankfurt,,,"Progr. Lehrhaus, 5. Lehrjahr, 3. Lehrgang, 07.05. - 03. 07; z. Jahr vgl. GS I,S.743",,
430,[E003,Abs.ms,We,"Rosenzweig, Franz",,1905-12-14,,"vgl. i. E. GS I, 1 u 2",,Abschriften aus Tagebuchnotizen ab 14. 12. 1905 bis mindestens Ende 1922,,
431,[E004,K,B,"Rosenzweig, F ranz","Ehrenberg, Rudolf",1913-11-04,,"I,1 Nr. 199",,"Dat Brf: 4.XI.[13]; Antwort auf Antwort zu Nr. 198: ""zu allem ... nur Ja ... sagen""",,
432,[E005,K,B,"Rosenzweig, Franz","Hahn,  Ilse",1920-04-18,,"I,2 Nr. 632",,"Über d. Rede bei Trauung Franz / Edith; zu Geist und Herz, persönlich / unpersönl.",,
433,[E006,O,B,"Rosenzweig, Franz","Hahn, Ilse",1920-03-11,,"I,2 Nr. 627",,"""Kein Mensch kann sich selber helfen ... """,,
434,[E007,O,B,"Rosenzweig,  Franz","Hahn,  Ilse",1920-00-00,Frankfurt,,,"Dat Jahr: ""..das Probeseminar fängt schon Anfang Oktober an..."" Edith in Kur",,
435,[E008,O,B,"Rosenzweig,  Franz","Hahn,  Ilse",1922-01-12,Frankfurt,"I,2 Nr. 699 ...",,Ilse hatte einen Mann kennengelernt und um Rat gefragt - deutliche Warnung!,,
436,[E009,O,B,"Rosenzweig,  Franz","Hahn,  Ilse",1922-01-17,Frankfurt,,,Ilse will die negative Einschätzung nicht gelten lassen.,,
437,[E010,O,B,"Rosenzweig,  Franz","Rosenzweig, Adele",1920-01-22,,"I,2 Nr. 626 ...",,Lehrhauspläne und Finanzfragen zur Hrsg. des Stern; zu den Vettern u Freunden,,
438,[E011,O,B,"Rosenzweig, Franz","Rosenzweig, Adele",1922-04-04,,"I,2 Nr. 726 ...",,Dat hdf; über gemeinsame Schmerzen; über Lektüre; über Wohnung,,
439,[E012,K,B,"Rosenzweig, Franz","Baumann,  Henny",1922-01-17,,"I,2 Nr. 701",,"Kondolenz zum Tod von Theodor Baumann, aus Rosenzweig & Baumann",,
"440,01","[E013,01",Abs.hdf P,B,"Hallo, Rudolf","Buber, Martin",1925-12-31,"Kassel-B., Stiftsstr. 39",,,"Dank für Zusendung ""Im Anfang"" - Bibelübersetzung, s. [F1",,
"440,02","[E013,02",Abs.hdf P,B,"Loewenthal, Leo","Rosenzweig, Franz",1926-05-31,Frankfurt/M,Doppel in [E29,,"Kritisches zum Umgang mit Kracauers Kritik an Bibelübersetzung, s. [F1",,
"440,03","[E013,03",Abs.hdf P,B,"Mayer, Eugen","Rosenzweig, Franz",1926-06-29,Frankfurt/M,,,"zu Kritk,  insb Kracauers, an BibÜbers u zu diesbezgl. Briefwechseln, s. [F1",,
"440,04","[E013,04",Abs?.hdf P,B,"Rosenzweig, Franz","Mayer, Eugen",1926-06-14,Frankfurt/M,Doppel in [E30,,"""Ich habe Löwenthals Brief zurückgeschickt  ..."" (4 Seiten Begründung),  s. [F1",,
"440,05","[E013,05",Abs.hdf P,B,"Seligsohn, Ernst Hch","Rosenzweig, Franz",1926-06-03,Berlin -Grunewald,,,"zur Kracauerschen Kritik an BibÜbers und Entggng Rosenzweig u Buber,  s. [F1",,
"440,06","[E013,06",Abs.hdf P,S,N. N.,"Rosenzweig, FR betr",1926-05-16,Lübeck,,,"kurze Rezension von ""Im Anfang"" in: Lübecker Zeitschr f Politik pp",,
"440,07","[E013,07",Abs.hdf P,S,"Fiebig, P","Rosenzweig, FR betr",1926-05-26,Weimar,,,"Rezension ""Im Anfang"" in: Literarische Wochenschrift",,
"440,08","[E013,08",Abs.hdf P,S,N. N.,"Rosenzweig, FR betr",1926-00-00,Frankreich,,,"Französ. Rezension ""Im Anfang"" in: Suppl. de la Revue Métaphysique ...",,
"440,09","[E013,09",Abs.hdf P,S,"Staerk, W.","Rosenzweig, FR betr",1926-07-00,Jena,,,"Rezension ""Im Anfang"" in: Theologische Blätter",,
"440,10","[E013,10",Abs.hdf P,S,N. N.,"Rosenzweig, FR betr",1926-06-01,Stuttgart,,,"Rezension ""Im Anfang"" in: Gemeindzeitung f d israelit Gemeinden Württembergs",,
"440,11","[E013,11",Abs.hdf P,B,"Loewenberg, Richard","Rosenzweig, Franz",1926-07-21,Hamburg,,,"Empf:  Nachsatz; zu einer Stelle in der Übersetzung ""Im Anfang""",,
"440,12","[E013,12",Abs.hdf P,B,"Jacob, Benno","Buber, Martin",1926-09-28,Dortmund,,,Empf:  Brf; Dank für Bibelübersetzung,,
"440,13","[E013,13",Abs.hdf P,S,"B., W.","Rosenzweig, FR betr",1926-09-08,Stuttgart,,,"Rezension ""Im Anfang"" in: Stuttgarter Neues Tageblatt",,
"440,14","[E013,14",Abs.hdf P,S,"Hesse, Hermann","Buber, Martin betr.",1926-10-07,Berlin,,,Zitat einer Anmerkung H.Hesses zur Übersetzung in: Berliner Tageblatt,,
"440,15","[E013,15",Abs.hdf P,S,L.,"Rosenzweig, FR betr",1926-10-09,Prag,,,"Rezension ""Im Anfang"" in: Prager Presse",,
"440,16","[E013,16",Abs.hdf P,S,"Paquet, Alfons","Rosenzweig, FR betr",1926-10-00,,,,"Rezension ""Im Anfang"" in: Neue Wege, Bl. für religiöse Arbeit, Heft 10",,
"440,17","[E013,17",Abs.hdf P,S,N. N.,"Rosenzweig, FR betr",1925-00-00,,,,"Rezension der Übersetzung der Hymnen Halevis; in: Morgen, Jg 1925,I; Fragment",,
"440,18","[E013,18",Abs.hdf P,S,"H., F.","Buber, Martin betr.",1926-00-00,,,,"Rezension Bibelübersetzung, Fragment;",,
"440,19","[E013,19",Abs.hdf P,S,"Goitein, Fritz","Rosenzweig, FR betr",1924-00-00,Haifa,,,"zur Übersetzung von Jehuda Halevi in: Der Jude, Jg 1924, Heft 12",,
"[E013,20",Abs.hdf P,S,"Münzer, Kurt","Rosenzweig, FR betr",1926-11-00,Stuttgart,,,"Kurze Rezension von ""Namen"" in: Die Literatur",,,
,[E014,Abs.hdfP+K,W,"Spitteler, Carl",,,,,,"Carl Spitteler, ""Die unsterbliche Gräfin"" - Paus von Abs + Kopie; Schrift wie [E13",,
442,[E015,O,B,"Rosenzweig,  Franz","Rosenzweig, Adele",1922-03-27,,,,"Dat hdf; inc: ""Ich bitte dich nochmal um Verschwiegenheit in der Lektoratssache..",,
443,[E016,O,B,"Rosenzweig,  Edith","Rosenzweig, Adele",1922-01-26,,,,"Empfg :eig Mutter nennt Edith ""Mutter""; z Tod des Rabb. Nobel; vgl.GS I,2 Nr 704 ff",,
444,[E017,O,B,"Rosenzweig,  Franz","Rosenzweig, Adele",1922-03-20,,,,"zur Krankheit: ""..mich jetzt nicht unnötig mit auswärtigen Autoritäten quälen""..",,
445,[E018,O ms,B,"Schaeffer, Albrecht","Rosenzweig, Franz",1928-11-23,Neubeuern am Inn,,,Dank für BrfWechsel mit Ludwig Strauß zurOdyssee. Sendet Parzival,,
446,[E019,O,B,"Carlebach, Joseph","Rosenzweig, Franz",1929-05-15,Altona-E.,"(s. I,2 Nr. 1242)",,erbittet Reaktion auf Seminaranfrage zum Stern; Anmerkung zu Halevi,,
447,"[E020,01",O,B,"Fritzsche, Robert A.","Rosenzweig, Franz",1926-01-18,Gießen,,,"zu Bibelübersetzung ""Im Anfang""",,
448,"[E020,02",O,B,"Fritzsche, Robert A.","Rosenzweig, Franz",1926-12-04,Gießen,,,"zu Inhalt ""Zweistromland""",,
449,"[E020,03",O,B,"Fritzsche, Robert A.","Rosenzweig, Franz",1927-01-18,Gießen,,,zu Übers. Halevi und Leviticus,,
450,"[E020,04",O,B,"Fritzsche, Jenny u Rob.","Rosenzweig, Franz",1927-12-23,Gießen,,,"Rücks.: 24. 12. [19]27 Fritzsche, Robert- Gruß zum Geb. u über ""Lebensalter""",,
451,"[E020,05",O,B,"Fritzsche, Robert A.","Rosenzweig, Franz",1928-02-26,Gießen,,,"zum ""Erzählen"" (Herodot)",,
452,[E021,O,B,"Cohen, Martha","Rosenzweig,Fam.Ffm",1927-09-12,Reichenhall,,,"""Liebe Freunde"" = Familie Franz Rosenzweig: Dank für Bib.Übers. und Lob für Ed.",,
453,[E022,O ms,W,"Rosenzweig, Franz",,1916-02-00,,,,Liste der Anschaffungen Bücher u. Noten Febr.1916 - Aug. 1918,,
454,[E023,ms Korr K,B,"Rosenzweig, Franz","Seligmann, Ilse",1923-11-14,,"I,2 Nr. 892",,Dank f Übersetzung jüdischer Gebete von Martin Goldner.,,
455,[E024,hdf P,,"Rosenzweig, Franz",???,1926-00-00,,"(Vgl. I, 2 Nr. 1110)",,"Fragment; zu Fragen der Veröffentlichenung v. ""Kleine (jüdische?) Schriften""",,
456,[E025,O ms Korr,B,"Rosenzweig, Franz u. Ed.","Rosenzweig, Adele",1924-06-27,,"I,2 Nr. 942 ...",,"""...Ein Kind malen lassen? ..."" E. zum Problem Haushaltshilfe und zu Rosenstocks",,
457,[E026,O ms Korr,B,"Rosenzweig,  Franz u. Ed.","Rosenzweig, Adele",1924-06-05,,"I,2 Nr. 938 ...",,Zu Rezens v  Übers Jehuda und Akzeptanz von Hegelstudien; zum Radio; Interna,,
458,[E027,hdf ? K,PK,"Rosenzweig , Franz","Simon, Ernst",1922-12-07,Frankfurt,"I,2 Nr. 837 ...",,PostStp abw;zu einer Biographie über Rabb. Nobel und Landauer - Simon? Buber?,,
459,[E028,O,B,"Rosenzweig, Edith","Rosenzweig, Adele",1926-01-02,,,,zu Ärzten; Franz schreibt = spricht  für Rafael!,,
460,[E029,Abs.hdf P,B,"Löwenthal, Leo","Rosenzweig, Franz",1926-05-31,Frankfurt M.,"Doppel in [E13,2",,zum Umgang mit Kracauers Kritik an Bib.Übers.,,
461,[E030,Abs.hdf?P,B,"Rosenzweig, Franz","Mayer, Eugen",1926-06-14,,"Doppel in [E13,4",,"betr. Kritik Bib.Übers. ""Ich habe Löwenthals Brief zurückgeschickt ...""",,
462,[E031,Abs.hdf?P,B,"Rosenzweig, Franz","Mayer, Eugen",1926-06-15,,"I,2 Nr. 1095",,bezieht sich auf [E30 und die Kontroverse mit Kracauer zur BibÜbers; siehe [F1,,
463,[E032,hdf P,B,"Rosenzweig,  Franz u.Ed.","Rosenzweig, Adele",1925-05-17,,"I,2 Nr. 1015",,Franz zu seinen Kinderbildern; zu Strauß; zu Hilfsschwestern; gez. Franz hd Edith,,
464,[E033,O,S,Ak.f.d.Wiss.d. Jd.tums,,1919-05-00,Berlin; (Haus L. Landau),Drucks.,,Bericht zur Gründung der Akademie; Geplante Satzung-vertraulich; vgl.[E36,,
465,[E034,O,B,"Rosenzweig,  Franz","Rosenzweig, Adele",1921-05-00,,"I,2 Nr. 660 ...",,"zu geplantem Vortrag über Cohen in Mannheim.Vgl. GS III, S.225-227; GB S.777",,
466,[E035,K,B,"Rosenzweig, Franz","Simon, Ernst",1921-00-00,,"I,2 Nr. 672 ...",,Dat GS; zu Art und Qualität von Gedanken einer Arbeit über Hegels GeschPhil,,
467,[E036,K,B,"Rosenzweig, Franz","Cohen, Hermann",1918-02-23,Briefpap: Terrasse 1,"I,1 Nr. 486 ...",,"Dat hdf; Anm. zu einem Entwf.f.Satzg der Akademie, vgl. [E33 u. [G1,4",,
468,[E037,K,B,"Rosenzweig, Franz","Kahn,  Mawrik",1919-10-28,,"I,2 Nr. 613 ...",,"Dat Brief, GS abw.; zu Schmerzen zufügen,  - aushalten.",,
469,[E038,K,B,"Rosenzweig, Franz","Kahn,  Mawrik",1919-12-22,Kreiensen-Wartesaal,"I,2 Nr. 619 ...",,"vom Tun (""auch Worte sind Taten"") und zu theol. Fragen",,
470,[E039,O,B,"Rosenzweig,  Franz","Ehrenberg,  Julie",1912-12-00,,"I,1 Nr. 194",,Dat:  Herzfeld S.10: Reitunfall führte zur Befreig;Schong v. T. Julie?Tod.tg Ehem.?,,
471,[E040,hdf,B,"Rosenzweig, Franz","Markowicz, Ernst",1924-11-02,,"I,2 Nr. 964 ...",,Schr:Edith ;Gesetz lesen u. lernen; die biographischen Gnadenstunden abwarten,,
472,[E041,hdf K,B,"Rosenzweig,  Franz","Strauß,  Eduard",1925-08-11,,"I,2 Nr. 1043",,zum Umgang mit Lehrhaus-Finanzierungsproblemen; gez. Franz hd Edith,,
473,[E042,O ms Korr,B,"Rosenzweig,  Franz u.a.","Rosenzweig, Adele",1924-04-02,,"I,2 Nr. 917 ...",,"Zum ""Hegel"" und ""Stern""; viel Interna; Schreibkünste von Rafael; Gruß v Edith",,
474,[E043,hdf,W,"Rosenzweig, Franz","Rowina, Hannah",1929-04-12,Ffm; Dat? [A6 u. GS,"I,2 Nr. 1273",,Schrift Edith;  Gedicht über Auftritt Rowina Hannah; siehe  [A6 u. [G144,,
475,[E044,hdf P K,B,"Rosenzweig, Franz","Badt, Hermann",1929-04-19,,"I,2 Nr. 1237",,"""Für zwei Stunden die 24 Stunden Reise? ...""",,
476,[E045,hdf K,B,"Rosenzweig, Franz","Simon,  Ernst",1923-02-14,Frankfurt M.,"I,2 Nr. 851 ...",,"zu Arbeitsgemeinschaft im Sommer, falls E. Simon promoviert ist.",,
477,[E046,O,B,"Rosenzweig, Franz","Markowicz, Ernst",1921-00-00,"FfM, Schumannstr 10","I,2 Nr. 662 ...",,"Dat nachgetragen; ""Was ist der junge Jacob aus Dortmund ... für ein Mensch? ...""",,
478,[E047,hdf P,B,"Rosenzweig, Franz","Buber, Martin",1925-03-05,,"I,2 Nr. 1000 ...",,zur Erfahrung des Augenblicks,,
479,[E048,K,B,"Rosenzweig, Franz","Regensburg, Walter",1897-01-07,Kassel,,,"Franz schreibt an seinen in London neugeborenen Vetter Walter, spter. Raeburn",,
480,[E049,Abs.ms,Be,"Rosenzweig, Franz","Ehrenberg, Victor",1903-00 00,,"GS nur I,1 Nr.201...",,"Abs.ms; Brfe an Victor Ehrenberg Juli 1903-Dez 1913; 1913-12-02: GS I,1 Nr 201..",,
481,[E050,hdf P K,B,"Rosenzweig,  Franz","Strauß, Eduard",1925-11-10,,"I,2 Nr. 1052 ...",,schlecht zu lesen! Zu Einzelheiten der Bib.Übers.,,
482,[E051,K,B,"Rosenzweig, Franz","Badt, Hermann",1909-04-23,,"I,1 Nr. 149",,"Dat hdf auf Brf; GS abw.;  Kondolenz zum Tod von Badts Vater mit Anrede ""Du"".",,
483,[E052,K,B,"Rosenzweig, Franz","Badt, Hermann",1909-07-12,Freiburg i. Br,,,Dat hdf; Münsterplatz 17; zu H. Badts Familie; Studien u. jüd. Leben,,
484,[E053,K,B,"Rosenzweig, Franz","Kahn, Mawrik",1919-02-26,,"I,2 Nr. 592",,"""Scholems Artikel habe ich inzw. schon erwischt und gelesen ...!  Zum Tun",,
485,[E054,K,B,"Rosenzweig, Franz","Kahn, Mawrik",1919-01-05,,"I,2 Nr. 589",,Dat hdf; so auch in GS; zu Religion und Gebet,,
486,[E055,hdf K,B,"Rosenzweig, Franz","Simon, Ernst",1924-12-06,,"I,2 Nr. 974",,"zu Leo Strauß' ""Theorie des pol. Zionismus"" im Lehrhaus; Anrede u. U. hd Edith",,
487,"[F001,01",ms P,B,"Simon, Ernst","Kracauer, Siegfried",1926-05-07,"Ffm,Bockenheimer Ld 115",,,"[F1: BriefW E.Simon / Kracauer zu Kritik an Übers. ""Im Anfang"" Vgl . [E13 u.[E30",,
488,"[F001,02",O ms,B,"Kracauer, Siegfried","Simon, Ernst",1926-05-12,Frankfurt M,,,"[F1: BriefW E.Simon / Kracauer zu Kritik an Übers. ""Im Anfang"" Vgl . [E13 u.[E30",,
489,"[F001,03",ms P,B,"Simon, Ernst","Kracauer, Siegrfried",1926-05-17,"Ffm,Bockenheimer Ld 115",,,"[F1: BriefW E.Simon / Kracauer zu Kritik an Übers. ""Im Anfang"" Vgl . [E13 u.[E30",,
490,"[F001,04",O ms,B,"Kracauer, Siegfried","Simon, Ernst",1926-05-21,Frankfurt M,,,"[F1: BriefW E.Simon / Kracauer zu Kritik an Übers. ""Im Anfang"" Vgl . [E13 u.[E30",,
491,[F002,hdf P K,B,"Rosenzweig, Franz","Simon, Ernst",1925-06-11,,"I,2 Nr. 1023",,"zu E.Simons Kritik an der Zeitschrift ""Morgen""",,
,[F004,hdf P K,B,"Rosenzweig, Franz","Strauß,  Eduard",1926-02-14,,"I,2 Nr. 1079",,Dat in GS abw.; zur Erkenntnis durch Bibelarbeit von Eduard Strauß,,
494,[F005,K,B,"Rosenzweig, Franz","Kahn,  Mawrik",1921-03-10,,"I,2 Nr. 652 ...",,"Mawrik Kahn plant eine Bespr. des Stern; ""...lesen Sie in Ruhe!""",,
495,[F006,hdf P K,B,"Rosenzweig, Franz","Prager,  Joseph",1923-01-06,,"I,2 Nr. 843",,"""... ich kann .. nicht mehr selber schreiben ...""; zu den Freitagsgebeten",,
496,[F007,K,B,"Rosenzweig, Franz","Prager, Joseph",1922-10-06,,"I,2 Nr. 819 ...",,E. Strauß hat zu Jom Kippur ein Minjan zusammengebracht - große Freude,,
497,[F008,hdf P K,B,"Rosenzweig,  Franz","Strauß, Eduard",1929-05-13,,"I,2 Nr. 1241 ...",,zum Pentateuch als Logenbibel;der Stern kein Buch für die Massen; s. auch [F9,,
498,[F009,hdf P K,B,"Rosenzweig,  Franz","Strauß,  Eduard",1929-07-17,,"I,2 Nr.1256 ...",,zur Herstellung und Absatz der BibÜbersetzung als Logenbibel; vgl. [F8,,
499,[F010,O,B/W,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-00-00,,,,"Dat: FR dankt a.E. f. Ebr.10,15 als ""Hochzeitsgeschk""; RückS: Korr in Bch Hans E's",,
500,[F011,ms Korr K,B,"Rosenzweig,  Franz","Prager, Joseph",1924-06-11,,"I,2 Nr. 940",,"zu Bespr. von Halevi in ""Jüdische Wochenzeitg"", Kassel, 06.06. 1925",,
