,Sender,Recipient,Date,Sender Location,Recipient Location,Archive,Rauner Item ID,Published,Copyright Holder,Comments
465,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1920-10-11,Frankfurt,,Kassel,,,,zu Vortrag ü Anthroposophie; zu Wohnungsnot in Ffm
466,"Ehrenberg,  Rudolf","Rosenzweig, Franz",1920-10-13,Göttingen,,Kassel,,,,"zu Rudis Theaterstück; Titel ""Spiel des Lebens mit dem Tode"""
467,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1920-10-24,Frankfurt,,Kassel,,,,Klagen über Nahestehende; das Lehrhaus kommt gut voran.
468,"Ehrenberg,  Hans","Ehrenberg,  Rudolf",1920-11-05,o.O,,Kassel,,,,"Couvertkopie paßt nur zu [R73,74; zum Verhältn. Hans-Rudi-""wie leibliche Brüder"""
469,"Rosenzweig,  Edith","Rosenstock-H., Margrit",1920-11-12,aus der Bahn,,Kassel,,,,Vom Du zum Wir?; der Weg zum anderen
470,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1920-11-18,Frankfurt,,Kassel,,,,"Dat Bahnpost Ffm-KS; schreibt aus einer Vorlesung; ""ich komme zu nichts"""
471,"Ehrenberg, Rudolf","Rosenzweig, Franz",1920-11-22,Göttingen,,Kassel,,,,zum Lebendigsein im Dichten; Entwicklg auch im Alter; es fehlt Resonanz von FR
472,"Ehrenberg,  Rudolf","Rosenzweig, Franz",1920-11-23,Göttingen,,Kassel,,,,Dat hdf; PostStp 24.11.20; Empfg:Adresse; zum Austausch von Werken.
473,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-11-27,Göttingen,,Kassel,,,,"zu Verh von Juden, Christen und Ketzern; im Gespr. mit Vater Victor E. (vgl [R37)"
474,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-11-27,Göttingen,,Kassel,,,,"zum Verständnis von ""Spiel des Lebens mit dem Tod""; wünscht sich Kontakt"
475,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-12-06,Göttingen,,Kassel,,,,"schickt Brf [R69 weiter; wir sind nicht ""fertig""; zur ""Schwester""; zum ""Beethoven"""
476,"Rosenstock-H., Eugen","Ehrenberg, Rudolf",1920-12-10,Stuttgart U.Türkheim,,Kassel,,,,"zum Verhälnis aller; zur ""Schwester"";zu Gritli; zum Hansbrief [R69; zu e. Jahrbch"
477,"Born,  Hedi","Rosenzweig, Franz",1920-12-13,Frankfurt,,Kassel,,,,"Hedi Born, Schwester von Rudi, nimmt Kontakt zu Franz u. Edith in Ffm auf."
478,"Rosenstock-H.,Eugen","Ehrenberg, Rudolf",1920-12-15,Stuttgart,,Kassel,,,,an Göttingen 16. 12. 1920; gehört zu Brief [R73; Absd-Verm hdf auf RückS abw (?)
479,"Rosenstock-H.,  Eugen","Ehrenberg,  Rudolf",1920-12-15,Stuttgart,,Kassel,,,,"zu e Jahrbuch, in das auch ""Schwester"" und ""Spiel ..."" hinein soll; zu Weismantel"
480,"Weizsäcker, Viktor","Ehrenberg,  Rudolf",1920-12-18,Heidelberg,,Kassel,,,,v.Weizs. zu seinen Anfängen in Heidelberger Neurologie; zur Anthroposophie
481,"Ehrenberg,  Rudolf","Rosenstock-H. , Margrit",1920-12-22,Göttingen,,Kassel,,,,"zu einem Stück ""Das Spiel""; zur Beziehung; zur Bedeutung des 21.1.[1920] f. Rudi"
482,"Ehrenberg,  Rudolf","Rosenstock-H., Margrit",1920-12-23,Göttingen,,Kassel,,,,"Fortsetzg v. [T41; hat Vertrautheit erkannt, ""als Franz dich 'Trudchen' nannte ..."""
483,"Rosenstock-H., Eugen","Ehrenberg,  Rudolf",1920-12-29,Freiburg,,Kassel,,,,zu Gritlis Krankheit; zur Wandlung ihrer  Liebe
484,"Ehrenberg,  Rudolf","Rosenstock-H.,  Margrit",1920-12-31,Göttingen,,Kassel,,,,"Abschied v alter Nähe- entschieden weiterleben, keine ""auslaufenden Räder""."
485,"Rosenstock-H., Eugen","Ehrenberg, Rudolf",1920-12-31,Säckingen,,Kassel,,,,Dat / Ort PostStp;
486,"Rosenstock-H., Eugen","Ehrenberg,  Rudolf",1921-01-01,Säckingen,,Kassel,,,,Ort PostStp.; zu Gritlis Krankheit; Medizin und Psychologie;
487,"Ehrenberg,  Rudolf","Rosenstock-H. , Margrit",1921-01-05,Göttingen,,Kassel,,,,"Friede im Herzen; ""Sehnsucht nach Christus""; zu FRs Judewerden, -sein;zu Eugen"
488,"Rosenzweig,  Edith","Rosenstock-H., Margrit",1921-01-09,Frankfu rt,,Kassel,,,,"Mitfreude, weil Gritli ""in Hoffnung""."
489,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-01-09,Göttingen,,Kassel,,,,"zu Gespräch m Thiersch zum [chr.] Glauben, zu Franz' ""Judewerden"" seit 1913"
490,"Ehrenberg,  Rudolf","Rosenstock-H.,  Margrit",1921-01-12,Göttingen,,Kassel,,,,"Rudis ""neue Christusliebe"", Vermerk hdf; Reflexion dies. Liebe im Verh zu d Frden"
491,"Ehrenberg,  Rudolf","Rosenstock-H.,  Margrit",1921-01-22,Göttingen,,Kassel,,,,"Liebe zu FR als Mensch, ob Jude o. Christ; BrfEnde zu den ""Schutzengeln"""
492,"Ehrenberg,  Rudolf","Rosenstock-H.,  Margrit",1921-01-29,Göttingen,,Kassel,,,,Helene (schwanger) krank; trüber Winter; gg FRs Christenwiderstand; zu d Frden
493,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-01-29,Göttingen,,Kassel,,,,"zu jew. Schlüsselerlebnissen; hd Rudi:""lies erst den andern Brief"", näml [R82"
494,"Ehrenberg,  Rudolf","Rosenstock-H.,  Eugen",1921-02-03,Göttingen,,Kassel,,,,"über Brief an FR, der einer tiefen Sorge um ihn als Jude Ausdr. gibt, s. [R81 u 82"
495,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-02-16,Göttingen,,Kassel,,,,Vor [R81 zu lesen; Rudi gibt Sorge der Freunde um Franz u. Gritli weiter
496,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-02-20,Göttingen,,Kassel,,,,inc:so leichten Kaufs kommst du mir doch nicht los: keine Antwort auf [R81-83.
497,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1921-02-27,,,Kassel,,,,"Dat hdf, lange Antwort auf [R81/82"
498,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-02-28,Göttingen,,Kassel,,,,kritische Reflexion über Gefüge der Freundschaft; vor 7.Hochzeitstag
499,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1921-03-04,Frankfurt,,Kassel,,,,"Dat/Ort hdf a. Couvert;passt das zu Brief? -""kaum mögl, dass wir uns...verstehen"""
500,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-03-05,Göttingen,,Kassel,,,,Wir sollten mehr Güte haben. Auch ich warte - Warten als Glaubenshaltg FR/ Rud
501,"Weizsäcker v., Viktor","Ehrenberg,  Rudolf",1921-03-06,Heidelberg,,Kassel,,,,"Warum v. Weizsäcker (med. Prof. in HD) nicht katholisch wird, sondern ev. bleibt"
502,"Rosenzweig, Franz","Scholem, Gerhard",1921-03-10,Frankf.M Schumannstr 10,,Kassel,,,,"hier Fragment; zum ""Tischdank"" - von der Möglichkeit, zu übersetzten; GS vollstdg"
503,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1921-03-10,,,Kassel,,,,Versöhnungsbrief; Grund für Abs.ms siehe [R90.
504,"Rosenzweig, Franz","Kahn,  Mawrik",1921-03-10,,,Kassel,,,,"Mawrik Kahn plant eine Bespr. des Stern; ""...lesen Sie in Ruhe!"""
505,"Rosenzweig, Franz","Scholem, Gershom",1921-03-10,,,Kassel,,,,"Damals: Gerhard Scholem; Franz hatte ihm ""Büchlein"" geschickt; Dank für Lob"
506,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-03-12,Kassel,,Kassel,,,,Ich habe Deinen Brief ([R89) in den Stern vorne eingeklebt.
507,"Weizsäcker v., Viktor","Ehrenberg, Rudolf",1921-03-14,Heidelberg,,Kassel,,,,"PostStp 14.3.21 Heidelberg; Adresse: Prof.Dr. Ehrenberg,Göttingen, Schrift v. W."
508,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-03-26,Göttingen,,Kassel,,,,"langer Brief zum Stern-""Ins Leben entlassen""."
509,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-03-30,G.öttingen,,Kassel,,,,zu FRs Urteil über Rudis Vortrag zur Anthroposophie-gefällt aller Welt nisi Catoni
510,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-04-07,Göttingen,,Kassel,,,,z. Verhältnis der Freunde; befürchtet Antisem. bei Dt. Stud.schaft;Vortrag?
511,"Ehrenberg,  Rudolf","Rosenstock-H.,  Margrit",1921-04-10,Göttingen,,Kassel,,,,"Dat: Brf u Inhalt: nach ""Karfreitag"": Kind war tot geboren; ÜbergL abw.; zu FR"
512,"Rosenzweig, Franz u. Ed.","Markowicz, Ernst",1921-07-10,"Kassel, Terrasse 1",,Kassel,,,,"zu Hilfe, die FR u.Edith dem Jüngeren geben konnten, durch Dasein u. Häuslichkeit"
513,"Rosenzweig, Franz","Ehrenberg, Rudolf",1921-07-17,Schopfheim,,Kassel,,,,"Dat hdf u PostStp; zu Biol g u Mathematik, Nat.wiss.schaft und Philos; Antw. [R95"
514,"Ehrenberg, Rudolf","Rosenstock-H., Eugen",1921-07-19,Göttingen,,Kassel,,,,"Dat, Ort PostStp; Bitte um Korrektur und Kommentar zu einem Text von Rudi"
515,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1921-07-19,Göttingen,,Kassel,,,,z. Rudis Forschungsggstd; hofft auf Institut und Mitarbeiter; Versuche gelungen
516,"Ehrenberg, Rudolf","Rosenzweig, Franz",1921-07-22,Göttingen,,Kassel,,,,Kannst Du nicht kommen? - Helene im Krankenhaus
517,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1921-07-22,Dat. in GB,,Kassel,,,,zu einer Geldaktion zugunsten Eugen
518,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1921-08-22,,,Kassel,,,,"zum ""Büchlein"" über den gesunden und kranken Menschenverstand"
519,"Rosenzweig,  Adele","Rosenstock-H.,  Eugen",1921-09-02,Badenweiler,,Kassel,,,,"""Ich habe Dich und Deine Liebe von Zeit zu Zeit nötig."""
520,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1921-09-12,,,Kassel,,,,zum Wohnungsproblem in Ffm; Vorlesungen halten
521,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1921-09-15,,,Kassel,,,,
522,"Huch, Ricarda","Rosenzweig, Franz",1921-09-17,"München, Kaulbachstr.35",,Kassel,,,,"Zum Stern; Brief in GS I,2 Nr. 680 dankbar erwähnt"
523,"Rosenzweig, Franz","Oppenheim, Gertrud",1921-09-30,"Badisch Rheinfelden, FfM",,Kassel,,,,"Dat/Ort:Couvert;Adeles Abwehr des Lehrhaus-die Kasseler Erfolge-z.""Tischdank"""
524,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1921-10-06,Frankfurt,,Kassel,,,,Ort PostStp; Über Lob f d Stern und zur Predigtkraft von Nehemia Nobel
525,"Rosenzweig, Franz","Rosenzweig, Adele",1921-12-18,,,Kassel,,,,"zu Eugen R., E. Simon, Buber, Rothschild u.a.; Abs. eines Simontextes dch Edith"
526,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1921-12-30,,,Kassel,,,,zu einem Aufsatz von Hans Ehrenberg
527,"Rosenzweig,  Franz","Hahn,  Ilse",1922-01-12,Frankfurt,,Kassel,,,,Ilse hatte einen Mann kennengelernt und um Rat gefragt - deutliche Warnung!
528,"Rosenzweig, Franz","Baumann,  Henny",1922-01-17,,,Kassel,,,,"Kondolenz zum Tod von Theodor Baumann, aus Rosenzweig & Baumann"
529,"Rosenzweig,  Franz","Hahn,  Ilse",1922-01-17,Frankfurt,,Kassel,,,,Ilse will die negative Einschätzung nicht gelten lassen.
530,"Rosenzweig,  Edith","Rosenzweig, Adele",1922-01-26,,,Kassel,,,,"Empfg :eig Mutter nennt Edith ""Mutter""; z Tod des Rabb. Nobel; vgl.GS I,2 Nr 704 ff"
531,"Rosenzweig , Franz","Rosenzweig, Adele",1922-02-10,,,Kassel,,,,Dat hdf auf Brf m.Vws auf PostStp; Symptome der beginnenden Krankheit
532,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-02-23,Göttingen,,Kassel,,,,Rudi hat von FRs Krankht erfahren; Besuch?; sonst hochfachliches zu s. Forschg
533,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-03-03,Frankfurt,,Kassel,,,,"Dat PostStp; Antwort auf [R98 - zur Krankheit; ""keiner kann sich ein Bild machen"""
534,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1922-03-14,Frankfurt,,Kassel,,,,Anfang der Krankheit (die Schrift wird weiter)
535,"Rosenzweig, Franz","Rosenzweig, Adele",1922-03-17,,,Kassel,,,,zu einem Steuerkonflikt mit der Stadt Kassel und allerlei was anliegt.
536,"Rosenzweig,  Franz","Rosenzweig, Adele",1922-03-20,,,Kassel,,,,"zur Krankheit: ""..mich jetzt nicht unnötig mit auswärtigen Autoritäten quälen"".."
537,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1922-03-22,Frankfurt,,Kassel,,,,"Edith ist schwanger; Krankheit macht ihr mehr Sorge, als sie merken läßt."
538,"Rosenzweig,  Franz","Rosenzweig, Adele",1922-03-27,,,Kassel,,,,"Dat hdf; inc: ""Ich bitte dich nochmal um Verschwiegenheit in der Lektoratssache.."
539,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-03-27,Frankfurt,,Kassel,,,,"Dat PostStp; zum Fortgang der Krankheit; ""Edith ahnt nichts."""
540,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-04-03,Berlin,,Kassel,,,,Dat Monat verdtl; Rudi möchte Franz sehen; zu seinem Biologiebuch (Todeslehre)
541,"Rosenzweig, Franz","Rosenzweig, Adele",1922-04-04,,,Kassel,,,,Dat hdf; über gemeinsame Schmerzen; über Lektüre; über Wohnung
542,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-04-10,Frankfurt,,Kassel,,,,"Dat PostStp; - ""...wo ich nichts mehr zu hoffen habe, wird es ...gut ..."""
543,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-04-18,Frankfurt,,Kassel,,,,"Dat PostStp; - ""ich glaube nicht mehr an umziehen."" - zur Krankheit u. Vorlsg."
544,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-04-21,Frankfurt,,Kassel,,,,Dat PostStp; - dringende Bitte um Besuch;
545,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-04-30,,,Kassel,,,,zur schlechten finanziellen Lage der Rosenstocks; Sinnen auf Hilfe; z  Krankheit
546,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-05-07,Göttingen,,Kassel,,,,R.E. bietet seine Forschungsergebnisse zur Therapie an; zu Eugens Finanzen
547,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-05-10,Frankfurt,,Kassel,,,,Dat hdf; Antwort auf [R100; zu einer von Rudi vorgeschl. Therapie; Versuch ?
548,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-05-15,Göttingen,,Kassel,,,,zur wiss. Versprachlichung der Versuche; mediz. Wortspiele; Hilfe f Eugen?
549,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-05-18,Königsstein i. Ts ?,,Kassel,,,,"Dat/Ort:PostStp FfM (GS:Königsstein? Plan) ""Sterben ist noch schöner als leben."""
550,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-05-24,Göttingen,,Kassel,,,,"Versuchsreihen gestört; s. Zwischenbrf v FR  v 29. 05. 22, [F59,3, GSI,2 Nr. 761"
551,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-05-27,Frankfurt,,Kassel,,,,Dat PostStp; über das Begleiten bis zum Abschied; Sprache schlechter-
552,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1922-05-29,Frankfurt,,Kassel,,,,wie es zu Hause geht.
553,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-05-29,Frankfurt,,Kassel,,,,"Dat hdf u PostStp; zu Therapieversuchen nach Rudi, s. [R102; zu  Mutters Sorgen."
554,"Ehrenberg,  Rudolf","Rosenstock-H.,  Margrit",1922-05-31,"Göttingen, Mittwoch",,Kassel,,,,Dat: Kalender;Verm hdf abw.;Sorge um FR; Bitte um Nachr. an Lotti (Schw.v Gritli)
555,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-06-06,Frankfurt,,Kassel,,,,"Empf:Couvert; zu Edith, die nichts zu merken scheint; zum Moment der Wahrheit ..."
556,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1922-06-11,Frankfurt,,Kassel,,,,Fortsetzung: 12. 06. 1922: E. hat Krankeit direkt angesprochen; Vgl. [C 35
557,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-06-13,"Frankfurt,(Königsstein?)",,Kassel,,,,"Dat/Empf:Couvert; Edith-ärztl.-Wahrheit ü Krankht gesagt;vgl. Edith an GO, [G26,4"
558,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1922-06-23,Königstein,,Kassel,,,,Ferien - einfach aber lustig; Freude aufs Kind; neue Offenheit nach Aussprache
559,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-07-04,Frankfurt,,Kassel,,,,"Dat PostStp;Empf:Couvert; ""Über die demokratische Politik bin ich entsetzt ..."""
560,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-07-07,Frankfurt,,Kassel,,,,"Dat/Empf:Couvert; zu Bubers Daniel; ""Es geht mir zunehmend dreckiger. .."""
561,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-07-09,Kassel,,Kassel,,,,"von Tierversuchen m Kaninchen (vgl. [F59,1=GS I,2 Nr. 746);zur Koop m Dr. Koch"
562,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-07-11,Frankfurt,,Kassel,,,,Dat hdf u PostStp; zu d Therapien. Das Reden fällt schwer; Fragment; vgl. GS
563,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-07-13,Göttingen,,Kassel,,,,zur Kooperation wg Therapie mit Dr. Koch und Strauß
564,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-07-15,Frankfurt,,Kassel,,,,"Koch bremst Rudis Therapievorschlag, da noch nicht erprobt, obwohl Franz dafür"
565,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-07-17,Göttingen,,Kassel,,,,"Antwort auf [F59,5=GS I,2 Nr.788; FR macht Rückzieher, Rudi bittet um Fortsetzg"
566,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-07-17,Frankfurt,,Kassel,,,,"Dat hdf u PostStp; Kochs Diagnosen, Rudis Therapievorschlag s. [[R100 ff"
567,"Rosenzweig, Franz","Oppenheim,  Gertrud",1922-07-30,Frankfurt,,Kassel,,,,Dat hdf; zu einem geplanten Besuch von GO; Buridans Entscheidg.
568,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-08-03,Frankfurt,,Kassel,,,,Dat PostStp; Koch hält Rudis Therapie für Nonsens.
569,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-08-06,Göttingen,,Kassel,,,,Skepsis Dr. Koch wg Rudis Therapie; Franz soll jetzt entscheiden
570,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1922-08-13,Frankfurt,,Kassel,,,,wie es Edith geht; zum Personal; Wohnungssuche
571,"Rosenzweig, Franz","Oppenheim, Gertrud",1922-08-14,Frankfurt,,Kassel,,,,Dat PostStp; Adresse hdf; Landgraf-Karl-Str. 46! zeitw. Adresse von Louis O.
572,"Rosenzweig, Franz u.Ed.","Oppenheim, Gertrud",1922-08-22,Frankfurt,,Kassel,,,,Dat PostStp;eilige Fußzeile von Edith. Zu den Randtiteln im Stern; Hilfe von Hans E.
573,"Rosenzweig, Franz","Oppenheim, Gertrud",1922-08-29,Frankfurt,,Kassel,,,,Dat/Empf: Couvert; zu Buber; was ist Epoche; das Lehrhaus in der Bewährung
574,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1922-09-02,Frankfurt,,Kassel,,,,Dat hdf; Edith paar Tage verreist. Ob GO kommen kann?
575,"Rosenzweig, Franz","Simon, Ernst",1922-09-10,,,Kassel,,,,"Dat hdf auf Brf; Mittlg dass Rafael geboren, E. Simon soll der ""Sandak"" sein"
576,"Ehrenberg, Rudolf","Rosenzweig, Franz",1922-09-11,Göttingen,,Kassel,,,,zu  Rafaels Geburt; Rudi verbindet die Initiale R mit sich als Freund; zur Therapie
577,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-09-13,Frankfurt,,Kassel,,,,Dat hdf.; von Krkht gezeichnete Schrift; verneint jede Assoziaton Rafael-Rudi.
578,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-09-14,Göttingen,,Kassel,,,,"zur Therap.;Leben irreversibel aber nie nur vergangen;Serum  ""Franzolin"" nennen?"
579,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-09-19,Göttingen,,Kassel,,,,weiter zur Therapie; zum Umgang mit Vergangenem
580,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-09-22,Frankfurt Main,,Kassel,,,,Anwort auf [R110; eingangs zur Therapie; weiter zum Umgang mit Vergangenem
581,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-09-23,Göttingen,,Kassel,,,,zur Therapie; alte Schlüsseldaten der Freunde
582,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1922-09-28,Frankfurt Main,,Kassel,,,,"um die Wahrheit; zum Gedicht ""Schatten""; zur Therapie"
583,"Rosenzweig,  Franz","Rosenzweig, Adele",1922-09-29,,,Kassel,,,,"Dat hdf u ÜbergL;""Eine Ewigkeit habe ich nicht geschrieben ..."" - Riesenschrift!"
584,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-09-29,Göttingen,,Kassel,,,,"über das Leben in/unter der Hoffnung;zum ""Karfreitagsgedicht"" f Helene n Totgeb."
585,"Rosenzweig, Franz","Prager, Joseph",1922-10-06,,,Kassel,,,,E. Strauß hat zu Jom Kippur ein Minjan zusammengebracht - große Freude
586,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-10-06,Frankfurt,,Kassel,,,,Dat PostStp;Empf:Couvert; über Rafael; über die Wohnsituation
587,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-10-06,Frankfurt Main,,Kassel,,,,"Dat hdf; zur Therapie ""gespritzt wird täglich""; zur Hoffnung; Erinnerungen"
588,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-10-07,Göttingen,,Kassel,,,,zur Ehrlichkeit sich selbst gegenüber
589,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-10-12,Frankfurt Main,,Kassel,,,,zu Ehe und Treue
590,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-10-12,Göttingen,,Kassel,,,,Helenes Rolle und Bedeutung für Rudi im Freundeskreis
591,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-10-16,Frankfurt,,Kassel,,,,"Dat, Ort, Empfg: Couvert; Einverständnis mit [R118;"
592,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-10-18,Göttingen,,Kassel,,,,zur Korrespondenz FR-Rudi-Helene untereinander
593,"Ehrenberg, Helene","Rosenzweig,  Franz",1922-10-18,Göttingen,,Kassel,,,,Antwort auf erwarteten Brief ([R 119)
594,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-10-26,G.öttingen,,Kassel,,,,zu den Inhalten div. Briefe untereinander und Warten auf Antwort;
595,"Ehrenberg, Helene","Rosenzweig, Franz",1922-10-26,Göttingen,,Kassel,,,,Eine Op. bei Rudi ist gut verlaufen. Gruß an Edith und Rosenstocks (in FfM)
596,"Rosenzweig, Franz","Oppenheim, Gertrud",1922-10-30,Frankfurt,,Kassel,,,,Dat PostStp;Empf:Couvert; zum Übers. und schwierige Verständigg mit Eugen
597,"Ehrenberg, Helene","Rosenzweig,  Franz",1922-11-06,Göttingen,,Kassel,,,,Re. auf Re zu [R120; zu Ihrem Verständnis des Freundeskreises
598,"Rosenzweig, Edith","Oppenheim, Gertrud",1922-11-14,Frankfurt,,Kassel,,,,"""Franz wollte meine Ahnungslosigkeit... Ich konnte aber die Lüge .. nicht ertragen"""
599,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-11-14,Frankfurt,,Kassel,,,,Dat PostStp;Empf:Couvert u GS;wackelige Handschrft. Fragment? - zu R. Hallo
600,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1922-11-16,G.öttingen,,Kassel,,,,zu Helenes Verstehen der Freundschaften
601,"Rosenzweig, Franz","Simon, Ernst",1922-11-30,Frankfurt M,,Kassel,,,,zu Inhalten im Lehrhaus
602,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-11-30,Frankfurt,,Kassel,,,,Dat PostStp;- die Handschrft wird unsicher; lernt zu diktieren;zur Arbeit an Halevi
603,"Rosenzweig , Franz","Simon, Ernst",1922-12-07,Frankfurt,,Kassel,,,,PostStp abw;zu einer Biographie über Rabb. Nobel und Landauer - Simon? Buber?
604,"Rosenzweig, Franz u. Ed.","Oppenheim, Gertrud",1923-01-05,Frankfurt,,Kassel,,,,Dat hdf;Empf: Couvert; Brf Franz hdf; Brief Edith hd; die Arbeit wird so schwer.
605,"Rosenzweig, Franz","Prager,  Joseph",1923-01-06,,,Kassel,,,,"""... ich kann .. nicht mehr selber schreiben ...""; zu den Freitagsgebeten"
606,"Rosenzweig, Franz",,1923-01-08,Frankfurt,,Kassel,,,,Programm Lehrhaus 08. Januar. bis 8. März; Jahr 1923 hd notiert
607,"Rosenzweig, Franz","Simon,  Ernst",1923-02-14,Frankfurt M.,,Kassel,,,,"zu Arbeitsgemeinschaft im Sommer, falls E. Simon promoviert ist."
608,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1923-02-21,,,Kassel,,,,"""Ich lasse Mama [Adele] nicht mehr kommen""; Probleme mit Kindermädchen-"
609,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-02-26,Göttingen,,Kassel,,,,"hat sein Buch ""Biologie des Todes""  abgeschickt; Paraphrasen seiner Thesen."
610,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-03-11,Göttingen,,Kassel,,,,Sorge um die Annahme des Buches durch den Verleger; Erschöpfg nach Abgabe
611,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-04-01,Göttingen,,Kassel,,,,Buch angenommen; zum Verhältnis von Biologie zu Theologie
612,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-04-12,Göttingen,,Kassel,,,,""" 'Die Bahn' des 'Stern' muss doch auch von meiner 'Biologie' aus zu sehen sein."""
613,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-05-09,Göttingen,,Kassel,,,,"zu ""Gehirn u. Bewusstsein""; rühmt FRs Übersetzungen als Dichtungen"
614,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-05-16,Göttingen,,Kassel,,,,"Dat: Tg undtl; zu s. Buch: es ist Kommentar zu den ""Predigten""; Typen im ""Stern"";"
615,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-05-26,Göttingen,,Kassel,,,,zum Vorwort zu Buch; Mitarbeit des Vaters; zu einem Rel.Gespräch mit Barth
616,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1923-05-29,G.öttingen,,Kassel,,,,schickt Einleitung zum Buch und Druckfahnen;
